Timestamp(s),BestCost
0.0566,96176032.208941
0.0619,95590970.192941
0.0653,95174129.383059
0.0661,95068050.449882
0.0679,94989225.721412
0.0687,94804578.730353
0.0698,94240660.173176
0.0807,94203986.856000
0.0809,94127900.047529
0.0817,94114084.518118
0.0889,94109129.029647
0.0893,93936993.465412
0.0894,93915625.525647
0.0915,93850851.559059
0.0956,93804780.453176
0.0975,93608097.418353
0.1034,93606250.581647
0.1037,93581575.831529
0.1040,93499986.216000
0.1041,93209704.960000
0.1049,92799572.391529
0.1050,92786803.779765
0.1057,92730804.669176
0.1069,92565783.707294
0.1072,92332034.173176
0.1072,92130605.232000
0.1099,92070491.240941
0.1113,92048268.686588
0.1140,92039586.307294
0.1144,91577855.805647
0.1161,91576727.128000
0.1168,91536966.792000
0.1247,91511636.157647
0.1377,91452933.946824
0.1407,91066907.494118
0.1409,90997756.476235
0.1429,90835244.954353
0.1432,90828736.671059
0.1435,90494004.810353
0.1509,90423570.120471
0.1551,90259264.012235
0.1581,90111936.538353
0.1609,89973135.583059
0.1678,89866287.082353
0.1679,89424723.985882
0.1717,89243654.580706
0.1763,88903842.779294
0.2053,88900145.115765
0.2117,88892961.040471
0.2132,88871692.774118
0.2244,88871611.244706
0.2325,88821704.759529
0.2347,88692683.752000
0.2408,88691051.281412
0.2699,88689488.184471
0.2909,88658501.301176
0.3052,88650442.334588
0.3230,88618152.625882
0.3574,88616157.645647
0.5513,88610421.463529
0.5552,88596336.847529
0.5609,88595106.942588
0.5750,88592726.376000
0.5817,88583774.594824
0.5951,88566599.184000
0.6042,88562210.167529
0.6082,88562136.414588
0.6155,88557958.309176
0.7066,88526143.637647
0.7124,88493574.976471
0.8156,88492885.382588
0.9517,88491064.787294
0.9815,88488888.273882
0.9994,88480100.299765
1.0639,88479281.672000
1.3125,88474359.514823
1.3423,88472728.650353
1.5245,88396545.656000
1.5310,88378744.184000
1.5396,88200615.138824
1.5400,88167851.345882
1.6051,88165901.284706
1.6186,88053833.046118
1.6803,88052508.792000
1.7782,87962770.691765
1.7860,87948944.802824
1.7872,87900208.552000
1.7952,87736629.390118
1.8000,87527600.701647
1.8042,87490661.769882
1.8094,87471512.311059
1.8130,87449904.690353
1.8665,87018312.056941
1.9718,86988663.113882
1.9910,86932755.243765
2.0083,86902848.318588
2.0753,86894524.646588
2.4365,86894416.072471
12.4116,86894073.654118
12.4540,86867691.337412
12.5023,86862307.784941
12.5065,86818657.025882
12.9206,86811986.938353
13.1037,86801547.463059
17.6580,86751667.181176
17.6944,86728043.440941
17.7330,86724852.234353
17.7991,86674398.281882
17.8121,86672349.989647
17.8261,86656299.042353
17.8359,86644349.960000
17.8413,86630453.421647
17.8602,86603515.273882
17.8718,86592998.052235
17.8787,86589220.950118
17.8923,86585403.331765
17.9323,86581398.368000
17.9407,86578331.649882
17.9732,86573429.441882
18.0868,86564500.021176
18.1868,86553134.159059
18.2576,86552731.535529
18.5150,86550987.254588
18.5168,86538409.760000
18.5399,86516497.549176
18.5433,86502030.128471
18.5708,86494806.262588
18.6842,86478434.573176
18.7032,86476485.312471
18.7416,86472896.109647
18.7737,86470540.977412
18.8109,86465466.775529
18.8456,86435147.283765
19.0637,86421871.697412
19.0874,86411924.213176
19.2290,86408648.015529
43.3288,86282114.612235
43.3342,86276671.576000
43.3394,86248717.296000
43.3426,86174897.264471
43.3445,86168783.637176
43.3528,86153712.912471
43.3637,86147780.072000
43.3661,86141678.771294
43.3691,86135484.896471
43.3788,86083005.475765
43.3793,86071706.098824
43.3821,86058693.912471
43.4792,85668831.662118
43.4824,85615007.744000
43.4827,85573661.797647
43.5728,85568803.949176
43.6133,85565953.878588
43.6308,85536153.070118
65.1699,85485085.088000
65.1717,85227494.031059
65.1786,85215943.085176
65.1870,85130360.476706
65.1902,85121553.956235
65.2067,85083381.652235
65.2620,85051446.313882
65.4085,85051302.856000
154.7329,85047648.960941
154.7445,85014213.952941
154.7674,84742240.155765
154.7840,84736089.853647
154.7933,84725630.141647
154.8013,84689474.169882
154.8368,84625894.399059
154.8545,84612055.002824
154.9210,84494033.390588
155.0041,84488572.428706
155.4096,84484031.956235
155.6277,84483769.368000
2450.5728,84473824.955765
2450.5807,84450750.602824
2938.7276,84339893.896941
2938.7562,84319103.544000
2938.7902,84269485.199529
2938.9474,84257742.394824
2940.9642,84245375.047059
6449.4427,84201514.959059
6449.5170,84193206.403765
6449.6983,83974793.042824
6449.7054,83967933.946824
6449.7281,83962653.679059
6449.7567,83961597.216000
6449.8629,83949661.600000
6450.0244,83945504.924235
